Release                                                               	Soundtrack Score 	Ratings 	Media Score 	Ratings
Stop Making Sense                                                     	            4.32 	14k
Pink Floyd at Pompeii - MCMLXXII                                      	            4.34 	2k
Purple Rain                                                           	            4.14 	29k
Twin Peaks                                                            	            4.18 	16k
A Charlie Brown Christmas                                             	            4.10 	10k
Tetsuo Complete Box                                                   	            4.23 	352
Blade Runner                                                          	            4.14 	9k
The Ennio Morricone Anthology: A Fistful of Film Music                	            4.22 	254
The End of Evangelion                                                 	            4.15 	4k
Superfly                                                              	            4.08 	12k
The Good, The Bad, and The Ugly                                       	            4.10 	7k
American Graffiti                                                     	            4.14 	597
Twin Peaks: Fire Walk With Me                                         	            4.09 	4k
2001: A Space Odyssey                                                 	            4.09 	2k
The Lord of the Rings: The Fellowship of the Ring                     	            4.06 	3k
A Tribute to Jack Johnson                                             	            4.03 	9k
The Harder They Come                                                  	            4.06 	2k
Mononoke-hime                                                         	            4.03 	2k
The Garden of Sinners                                                 	            4.07 	257
Once Upon a Time in the West                                          	            4.02 	3k
The Shining                                                           	            4.05 	699
The Early Years 1972 Obfusc/ation                                     	            4.07 	232
Walt Disney's Fantasia                                                	            4.04 	418
Star Wars                                                             	            4.00 	3k
Once Upon a Time in America                                           	            4.01 	2k
Spirited Away                                                         	            4.00 	3k
Star Wars: The Empire Strikes Back                                    	            3.99 	2k
The Royal Tenenbaums                                                  	            4.02 	594
Hana-bi                                                               	            4.01 	899
Harold and Maude                                                      	            4.03 	268
Symphonic Suite Akira                                                 	            3.98 	3k
Pulp Fiction                                                          	            3.98 	3k
Yellow Submarine Songtrack                                            	            4.00 	838
The Lord of the Rings: The Return of the King                         	            3.98 	2k
Opus                                                                  	            3.99 	1k
Koyaanisqatsi                                                         	            3.96 	5k
Made in Abyss 2                                                       	            4.00 	419
The Lord of the Rings: The Two Towers                                 	            3.96 	2k
Rushmore                                                              	            4.00 	416
Trainspotting                                                         	            3.97 	2k
Mulholland Dr.                                                        	            3.96 	2k
All About Lily Chou-Chou                                              	            3.94 	6k
Mishima                                                               	            3.96 	2k
Oppenheimer                                                           	            3.95 	1k
Mysterious Skin                                                       	            3.97 	926
Taxi Driver                                                           	            3.95 	3k
Psycho                                                                	            3.99 	256
The Rocky Horror Picture Show                                         	            3.94 	3k
Music From "Shin Evangelion" Evangelion: 3.0+1.0                      	            3.97 	332
The Young Girls of Rochefort                                          	            3.96 	448
Imagine: John Lennon                                                  	            3.97 	321
The Lord of the Rings: The Motion Picture Trilogy Soundtrack          	            4.30 	170
Spider-Man: Across the Spider-Verse                                   	            3.95 	540
Star Wars Episode III: Revenge of the Sith                            	            3.93 	974
The Big Chill                                                         	            3.97 	255
Howl's Moving Castle                                                  	            3.94 	1k
Repo Man                                                              	            3.95 	381
24 Hour Party People                                                  	            3.96 	291
Shin Godzilla Music Collection                                        	            3.96 	223
Amélie                                                                	            3.90 	4k
Cinema Paradiso                                                       	            3.93 	650
Amadeus                                                               	            3.93 	678
Vertigo                                                               	            3.92 	1k
Evangelion: 2.0 You Can (Not) Advance                                 	            3.94 	305
Conan the Barbarian                                                   	            3.90 	1k
A Clockwork Orange                                                    	            3.91 	2k
Babylon                                                               	            3.92 	404
Crime and Dissonance                                                  	            3.94 	271
The Muppet Movie                                                      	            3.93 	420
The Godfather                                                         	            3.91 	2k
Sinners                                                               	            3.94 	232
Chinatown                                                             	            3.92 	576
Girls,Dance,Staircase                                                 	            3.92 	404
Kiki's Delivery Service                                               	            3.91 	914
Barry Lyndon                                                          	            3.92 	545
A Silent Voice: A Shape of Light                                      	            3.90 	815
The Transformers: The Movie                                           	            3.93 	272
Christiane F.: We Children from Bahnhof Zoo                           	            3.92 	381
The Carl Stalling Project: Music From Warner Bros. Cartoons 1936-1958 	            3.92 	418
The Wicker Man                                                        	            3.90 	817
Psycho                                                                	            3.90 	833
Clockwork Orange                                                      	            3.89 	1k
Phantom of the Paradise                                               	            3.90 	698
Lost in Translation                                                   	            3.89 	1k
For a Few Dollars More / A Fistful of Dollars                         	            3.89 	1k
Ziggy Stardust: The Motion Picture                                    	            3.89 	2k
Raiders of the Lost Ark                                               	            3.88 	944
Music From the Soundtrack of The Who Film Quadrophenia                	            3.92 	328
Easy Rider                                                            	            3.90 	719
Coraline                                                              	            3.90 	364
Ghost in the Shell                                                    	            3.88 	2k
Jesus Christ Superstar                                                	            3.88 	774
The Great Silence                                                     	            3.90 	311
Tim Burton's The Nightmare Before Christmas                           	            3.86 	2k
Blue                                                                  	            3.93 	215
Suspiria                                                              	            3.86 	4k
Angel's Egg                                                           	            3.89 	600
Heisei Erotica                                                        	            3.86 	3k
The Brutalist                                                         	            3.89 	387
Challengers                                                           	            3.86 	2k
The Social Network                                                    	            3.85 	4k
Magical Mystery Tour                                                  	            4.07 	42k
